iter_count,numeric fraction,symbolic fraction
0,6.699677550147241e-10,6.69967755014724e-10
1,6.029709795132516e-09,6.02970979513252e-9
2,0.002577174342763709,0.00257717434276371
3,0.0711858808733497,0.0711858808733497
4,0.2782037109690822,0.278203710969082
5,0.11876452803302798,0.118764528033028
6,0.45483836871137817,0.454838368711378
7,0.07443033037072073,0.0744303303707207
