iter_count,numeric fraction,symbolic fraction
0,6.570543887242877e-100,6.570543887242876830650320944126216477752270516064260136190199593823650128535149303098608649651916944e-100
1,6.504838448370448e-98,6.504838448370448062343817734684954312974747810903617534828297597885413627249797810067622563155397775e-98
2,4.1462946578303067e-16,0.0000000000000004146294657830306787309594885209846416880274921441691676391526386481930432366221320727700212209701309
3,0.053340655046493206,0.05334065504649320630727085548118334017788548765693215978528707727220350770159469483681490144796038958
4,0.21690649187227984,0.2169064918722798508509845448953394098964448079587379220400617901099681537444916429261879600779768257
5,0.2571557146851674,0.2571557146851674261578223955823248155815220671593647719319568761862121193475228667834771920667287737
6,0.32380083325506875,0.3238008332550687701575592703524820996486764875437009087397674580503623795922111492848696424142178496
7,0.14879630514099032,0.1487963051409903318968971506579916037359826286966225494754346542120862004615409979756070673709840229
